,YEAR,EIND,TATM,iter,orig_sol,sim_ssp,sim_damages,sim_ecs
152,2195,-1.2364407745670802,1.1033017789,2,Temperature,1,2,2.500000
153,2200,-1.1986414287275702,1.0953259772,2,Temperature,1,2,2.500000
154,2205,-1.1219578064437599,1.0874728822,2,Temperature,1,2,2.500000
155,2210,-1.0502456455425897,1.0797502431,2,Temperature,1,2,2.500000
156,2215,-0.98322668152279,1.0723153469,2,Temperature,1,2,2.500000
157,2220,-0.92063984462871,1.0651511202,2,Temperature,1,2,2.500000
158,2225,-0.8622287048135902,1.0582186358,2,Temperature,1,2,2.500000
159,2230,-0.8077396324381597,1.0514837481,2,Temperature,1,2,2.500000
160,2235,-0.7569233130915699,1.044919061,2,Temperature,1,2,2.500000
161,2240,-0.7095374139932509,1.0385022957,2,Temperature,1,2,2.500000
162,2245,-0.6653494981434428,1.0322148303,2,Temperature,1,2,2.500000
163,2250,-0.6241383652241547,1.0260407633,2,Temperature,1,2,2.500000
164,2255,-0.582825568157897,1.0199663311,2,Temperature,1,2,2.500000
165,2260,-0.40752690540897796,1.01397953,2,Temperature,1,2,2.500000
166,2265,-0.17708699625724697,1.0080823134,2,Temperature,1,2,2.500000
167,2270,0.06109066698185899,1.0028605217,2,Temperature,1,2,2.500000
168,2275,0.317222748221781,0.99860123232,2,Temperature,1,2,2.500000
169,2280,0.613571064319299,0.99532089442,2,Temperature,1,2,2.500000
170,2285,1.0151338376553596,0.99305097918,2,Temperature,1,2,2.500000
171,2290,1.8749797012898402,0.99193257296,2,Temperature,1,2,2.500000
172,2295,1.7850969952701699,0.99240393446,2,Temperature,1,2,2.500000
173,2300,1.6806149296156898,0.99645530655,2,Temperature,1,2,2.500000
174,2015,34.942094457051,0.85,3,Welfare,1,4,2.500000
175,2020,34.980578784744004,1.1181170528,3,Welfare,1,4,2.500000
176,2025,29.068278392761396,1.2609766632,3,Welfare,1,4,2.500000
177,2030,22.627236615173604,1.3689687179,3,Welfare,1,4,2.500000
178,2035,15.7327898953588,1.4442529613,3,Welfare,1,4,2.500000
179,2040,9.602444381891399,1.4909870152,3,Welfare,1,4,2.500000
180,2045,5.5552470944286,1.5115775232,3,Welfare,1,4,2.500000
181,2050,5.144525896826861,1.510981625,3,Welfare,1,4,2.500000
182,2055,4.714322634593381,1.4981285772,3,Welfare,1,4,2.500000
183,2060,4.163475062495329,1.4872973655,3,Welfare,1,4,2.500000
184,2065,3.676335231489839,1.4793669513,3,Welfare,1,4,2.500000
185,2070,3.21877160118432,1.4728967735,3,Welfare,1,4,2.500000
186,2075,2.7573588670410496,1.4672061382,3,Welfare,1,4,2.500000
187,2080,2.296269711789251,1.4618740331,3,Welfare,1,4,2.500000
188,2085,1.8445889648281404,1.4565397456,3,Welfare,1,4,2.500000
189,2090,1.4073586799697704,1.4509547115,3,Welfare,1,4,2.500000
190,2095,0.9999021542830001,1.4449727275,3,Welfare,1,4,2.500000
191,2100,0.6587895184681801,1.4385100245,3,Welfare,1,4,2.500000
192,2105,0.36107225626198985,1.4315655923,3,Welfare,1,4,2.500000
193,2110,0.11315197791915006,1.4242961044,3,Welfare,1,4,2.500000
194,2115,-0.09589288473522999,1.4167904215,3,Welfare,1,4,2.500000
195,2120,-0.26557516447908996,1.4091526994,3,Welfare,1,4,2.500000
